"Exchange","Asset Class","Product Name","Product Code","Ratio","Side","Start Period","End Period","Single Period","Maintenance","Currency"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
05/2026","04/2026
06/2026","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","01/2026
05/2026
07/2026","04/2026
06/2026
07/2026","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
07/2026","04/2026
07/2026","","625.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
08/2026","04/2026
08/2026","","675.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
09/2026","04/2026
09/2026","","725.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
10/2026","04/2026
11/2026","","775.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
12/2026","04/2026
12/2026","","800.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
01/2027","04/2026
02/2027","","825.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
03/2027","04/2026
04/2027","","850.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
05/2027","04/2026
06/2027","","875.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
07/2027","04/2026
07/2027","","950.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
08/2027","04/2026
08/2027","","1050.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
09/2027","04/2026
09/2027","","1100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
10/2027","04/2026
11/2027","","1200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
12/2027","04/2026
12/2027","","1200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2026
01/2028","04/2026
12/2029","","1200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","05/2026
07/2026
08/2026","06/2026
07/2026
08/2026","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
07/2026","06/2026
07/2026","","275.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
08/2026","06/2026
08/2026","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
09/2026","06/2026
09/2026","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
10/2026","06/2026
11/2026","","475.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
12/2026","06/2026
12/2026","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
01/2027","06/2026
02/2027","","525.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
03/2027","06/2026
04/2027","","575.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
05/2027","06/2026
06/2027","","600.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
07/2027","06/2026
07/2027","","700.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
08/2027","06/2026
08/2027","","725.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
09/2027","06/2026
09/2027","","725.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
10/2027","06/2026
11/2027","","775.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
12/2027","06/2026
12/2027","","775.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2026
01/2028","06/2026
12/2029","","775.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","07/2026
08/2026
09/2026","07/2026
08/2026
09/2026","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
08/2026","07/2026
08/2026","","225.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
09/2026","07/2026
09/2026","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
10/2026","07/2026
11/2026","","275.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
12/2026","07/2026
12/2026","","325.00","USD"
