# CME Futures Contract Specifications
# Source: https://www.cmegroup.com/clearing/margins/outright-vol-scans.html
#
# asset: CME product code (e.g., 6J, ES, CL)
# type: asset class (currency, index, energy, metal, ag, rate, vol, crypto)
# margin: maintenance margin in USD
# multiplier: contract multiplier for notional calculation
# spread_ratio: calendar spread margin as fraction of outright (default 0.20)
# months: which months trade (F=Jan, G=Feb, H=Mar, J=Apr, K=May, M=Jun, N=Jul, Q=Aug, U=Sep, V=Oct, X=Nov, Z=Dec)
#
asset,type,margin,multiplier,spread_ratio,months
# FX - G10
6J,currency,2800,12500000,0.18,FGHJKMNQUVXZ
6E,currency,2700,125000,0.18,FGHJKMNQUVXZ
6S,currency,4500,125000,0.18,FGHJKMNQUVXZ
6A,currency,1900,100000,0.18,FGHJKMNQUVXZ
6B,currency,2000,62500,0.18,FGHJKMNQUVXZ
6C,currency,1000,100000,0.18,FGHJKMNQUVXZ
6N,currency,1300,100000,0.18,HMUZ
6M,currency,2500,500000,0.18,FGHJKMNQUVXZ
E7,currency,1350,62500,0.18,HMUZ
J7,currency,1400,6250000,0.18,HMUZ
M6E,currency,270,12500,0.18,HMUZ
M6A,currency,190,10000,0.18,HMUZ
M6B,currency,200,6250,0.18,HMUZ
MCD,currency,100,10000,0.18,HMUZ
MSF,currency,450,12500,0.18,HMUZ
MJY,currency,280,1250000,0.18,HMUZ
# FX - EM
6L,currency,4000,100000,0.18,FGHJKMNQUVXZ
6R,currency,5000,2500000,0.18,HMUZ
6Z,currency,3000,500000,0.18,HMUZ
PLS,currency,2000,500000,0.18,HMUZ
CZK,currency,1500,4000000,0.18,HMUZ
HUF,currency,2000,30000000,0.18,HMUZ
ILS,currency,1500,1000000,0.18,HMUZ
KRW,currency,2000,125000000,0.18,HMUZ
CNH,currency,3500,100000,0.18,FGHJKMNQUVXZ
# Equity Index
ES,index,22731,50,0.10,HMUZ
NQ,index,33563,20,0.10,HMUZ
YM,index,14245,5,0.10,HMUZ
RTY,index,9491,50,0.10,HMUZ
EMD,index,15000,100,0.10,HMUZ
NKD,index,12000,5,0.10,HMUZ
NIY,index,1200000,500,0.10,HMUZ
MES,index,2273,5,0.10,HMUZ
MNQ,index,3356,2,0.10,HMUZ
MYM,index,1424,0.5,0.10,HMUZ
M2K,index,949,5,0.10,HMUZ
XAF,index,2000,100,0.10,HMUZ
XAK,index,3500,100,0.10,HMUZ
XAE,index,4000,100,0.10,HMUZ
XAU,index,1500,100,0.10,HMUZ
XAV,index,2500,100,0.10,HMUZ
XAB,index,1500,100,0.10,HMUZ
XAY,index,2500,100,0.10,HMUZ
XAI,index,2000,100,0.10,HMUZ
XAP,index,2000,100,0.10,HMUZ
# Interest Rates
ZT,rate,1000,2000,0.15,HMUZ
Z3N,rate,1200,1000,0.15,HMUZ
ZF,rate,1500,1000,0.15,HMUZ
ZN,rate,2000,1000,0.15,HMUZ
TN,rate,2500,1000,0.15,HMUZ
ZB,rate,3500,1000,0.15,HMUZ
UB,rate,5000,1000,0.15,HMUZ
SR3,rate,500,2500,0.15,FGHJKMNQUVXZ
SR1,rate,300,4167,0.15,FGHJKMNQUVXZ
FF,rate,300,4167,0.15,FGHJKMNQUVXZ
GE,rate,500,2500,0.15,HMUZ
# Energy
CL,energy,6500,1000,0.15,FGHJKMNQUVXZ
QM,energy,3250,500,0.15,FGHJKMNQUVXZ
MCL,energy,650,100,0.15,FGHJKMNQUVXZ
BZ,energy,7000,1000,0.15,FGHJKMNQUVXZ
NG,energy,3000,10000,0.20,FGHJKMNQUVXZ
QG,energy,1500,2500,0.20,FGHJKMNQUVXZ
HO,energy,7500,42000,0.15,FGHJKMNQUVXZ
RB,energy,7000,42000,0.15,FGHJKMNQUVXZ
# Metals
GC,metal,24881,100,0.10,FGHJKMNQUVXZ
SI,metal,45417,5000,0.10,FHKNUZ
HG,metal,10000,25000,0.15,FHKNUZ
PL,metal,3500,50,0.15,FJNV
PA,metal,15000,100,0.15,HMUZ
MGC,metal,2488,10,0.10,FGHJKMNQUVXZ
SIL,metal,9000,1000,0.10,FGHJKMNQUVXZ
QC,metal,2500,12500,0.15,FHKNUZ
ALI,metal,3000,25,0.15,FGHJKMNQUVXZ
# Agriculture
ZC,ag,975,50,0.25,FHKNUZ
ZS,ag,2000,50,0.20,FHKNQUX
ZW,ag,1650,50,0.25,FHKNUZ
KE,ag,1800,50,0.25,FHKNUZ
ZO,ag,800,50,0.25,FHKNUZ
ZM,ag,1800,1,0.20,FHKNQUVZ
ZL,ag,1200,0.6,0.20,FHKNQUVZ
XC,ag,195,10,0.25,FHKNUZ
XW,ag,330,10,0.25,FHKNUZ
XK,ag,400,10,0.20,FHKNQUX
# Livestock
LE,ag,2200,400,0.20,GJMQVZ
GF,ag,3500,500,0.20,FHJKQUVX
HE,ag,1800,400,0.20,GJKMNQVZ
# Dairy
DC,ag,1500,2000,0.20,FGHJKMNQUVXZ
DY,ag,800,440,0.20,FGHJKMNQUVXZ
CB,ag,2000,200,0.20,FGHJKMNQUVXZ
CSC,ag,1500,200,0.20,FGHJKMNQUVXZ
# Other
LBS,ag,3500,27.5,0.20,FHKNUX
# VX trades on CBOE CFE, not CME Globex - not available via Databento
# Crypto
BTC,crypto,50000,5,0.15,FGHJKMNQUVXZ
MBT,crypto,5000,0.1,0.15,FGHJKMNQUVXZ
ETH,crypto,8000,50,0.15,FGHJKMNQUVXZ
MET,crypto,800,0.1,0.15,FGHJKMNQUVXZ
