"Exchange","Asset Class","Sub Group","Product Name","Product Code","Clearing Org","Maintenance Som Rate","Currency"
"CBT","AGRICULTURE","06","SOYBEAN MEAL","06","CME","20","USD"
"CBT","AGRICULTURE","07","SOYBEAN OIL","07","CME","11","USD"
"CBT","AGRICULTURE","14","ROUGH RICE","14","CME","16","USD"
"CBT","AGRICULTURE","1BC","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","1CA","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","1CW","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","1HC","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","1MA","SOYBEAN MEAL","06","CME","20","USD"
"CBT","AGRICULTURE","1MB","SOYBEAN MEAL","06","CME","20","USD"
"CBT","AGRICULTURE","1MC","SOYBEAN MEAL","06","CME","20","USD"
"CBT","AGRICULTURE","1MD","SOYBEAN MEAL","06","CME","20","USD"
"CBT","AGRICULTURE","1OA","SOYBEAN OIL","07","CME","11","USD"
"CBT","AGRICULTURE","1OB","SOYBEAN OIL","07","CME","11","USD"
"CBT","AGRICULTURE","1OC","SOYBEAN OIL","07","CME","11","USD"
"CBT","AGRICULTURE","1OD","SOYBEAN OIL","07","CME","11","USD"
"CBT","AGRICULTURE","1SA","SOYBEANS","S","CME","12","USD"
"CBT","AGRICULTURE","1SB","SOYBEANS","S","CME","12","USD"
"CBT","AGRICULTURE","1SC","SOYBEANS","S","CME","12","USD"
"CBT","AGRICULTURE","1SD","SOYBEANS","S","CME","12","USD"
"CBT","AGRICULTURE","1WA","WHEAT","W","CME","12","USD"
"CBT","AGRICULTURE","1WB","WHEAT","W","CME","12","USD"
"CBT","AGRICULTURE","1WC","WHEAT","W","CME","12","USD"
"CBT","AGRICULTURE","1WD","WHEAT","W","CME","12","USD"
"CBT","AGRICULTURE","2BC","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","2CA","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","2CW","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","2HC","CORN","C","CME","12","USD"
"CBT","AGRICULTURE","2MA","SOYBEAN MEAL","06","CME","20","USD"
